location,new_cases_per_million,new_deaths_per_million,new_cases,new_deaths
Luxembourg,1270.017,12.78,795,8
Luxembourg,1139.021,7.988,713,5
Luxembourg,1139.021,12.78,713,8
Macedonia,469.429,12.48,978,26
Macedonia,247.194,9.6,515,20
Macedonia,454.55,14.4,947,30
Macedonia,632.626,12.48,1318,26
Macedonia,621.586,12.48,1295,26
Macedonia,510.229,12,1063,25
Macedonia,558.707,8.64,1164,18
Malta,0,0,0,0
Malta,462.02,0,204,0
Malta,346.515,0,153,0
Malta,319.338,29.442,141,13
Malta,246.864,6.794,109,3
Malta,0,0,0,0
Malta,613.762,15.854,271,7
Moldova,166.338,0.496,671,2
Moldova,82.053,4.71,331,19
Moldova,226.824,4.462,915,18
Moldova,276.403,4.958,1115,20
Moldova,329.948,4.71,1331,19
Moldova,327.965,4.462,1323,18
Moldova,349.78,4.71,1411,19
Montenegro,678.277,6.369,426,4
Montenegro,1278.536,7.961,803,5
Montenegro,869.341,11.145,546,7
Montenegro,1132.054,11.145,711,7
Montenegro,1025.376,12.738,644,8
Montenegro,955.32,20.699,600,13
Montenegro,918.699,12.738,577,8
Netherlands,330.262,2.568,5659,44
Netherlands,272.777,2.276,4674,39
Netherlands,272.193,5.719,4664,98
Netherlands,315.147,4.319,5400,74
Netherlands,328.395,5.194,5627,89
Netherlands,355.182,3.093,6086,53
Netherlands,344.502,4.961,5903,85
Norway,0,0,0,0
Norway,277.058,0,1502,0
Norway,109.569,0,594,0
Norway,104.035,0,564,0
Norway,113.996,1.107,618,6
Norway,133.364,0.553,723,3
Norway,0,0,0,0
Poland,654.88,6.236,24785,236
Poland,573.711,4.571,21713,173
Poland,672.557,8.719,25454,330
Poland,666.401,11.362,25221,430
Poland,599.34,7.266,22683,275
Poland,635.486,11.071,24051,419
Poland,675.648,14.427,25571,546
Portugal,567.242,4.707,5784,48
Portugal,401.698,6.178,4096,63
Portugal,374.337,6.08,3817,62
Portugal,483.98,8.042,4935,82
Portugal,572.636,7.65,5839,78
Portugal,652.466,6.767,6653,69
Portugal,647.464,5.394,6602,55
Romania,350.978,4.47,6752,86
Romania,168.419,6.758,3240,130
Romania,379.672,9.201,7304,177
Romania,509.365,10.552,9799,203
Romania,527.194,6.29,10142,121
Romania,493.251,9.045,9489,174
Romania,491.743,6.706,9460,129
Russia,140.46,1.96,20498,286
Russia,149.368,1.754,21798,256
Russia,143.743,2.522,20977,368
Russia,136.027,2.96,19851,432
Russia,148.066,3.008,21608,439
Russia,150.636,2.816,21983,411
Russia,155.563,2.679,22702,391
Serbia,310.378,1.47,2112,10
Serbia,193.693,1.617,1318,11
Serbia,414.867,2.057,2823,14
Serbia,519.649,3.086,3536,21
Serbia,490.992,2.792,3341,19
Serbia,514.211,2.498,3499,17
Serbia,561.679,2.498,3822,17
Slovakia,334.82,0,1828,0
Slovakia,105.685,2.747,577,15
Slovakia,192.503,4.396,1051,24
Slovakia,376.948,4.396,2058,24
Slovakia,474.573,9.158,2591,50
Slovakia,370.72,4.945,2024,27
Slovakia,324.38,3.48,1771,19
Slovenia,428.104,1.924,890,4
Slovenia,223.192,7.696,464,16
Slovenia,525.27,5.772,1092,12
Slovenia,1068.818,6.734,2222,14
Slovenia,928.842,6.253,1931,13
Slovenia,728.74,21.165,1515,44
